index,Date,Type of transport,Foreign Visitors
656,09-01-17, Waterway,19515
657,09-01-17, Air,252646
658,09-01-17, Railway,8682
659,09-01-17, Road,718281
660,10-01-17, Waterway,14873
661,10-01-17, Air,251772
662,10-01-17, Railway,8662
663,10-01-17, Road,632952
664,11-01-17, Waterway,9355
665,11-01-17, Air,187384
666,11-01-17, Railway,7046
667,11-01-17, Road,551852
668,12-01-17, Waterway,8425
669,12-01-17, Air,186887
670,12-01-17, Railway,9009
671,12-01-17, Road,601337
672,01-01-18, Waterway,7438
673,01-01-18, Air,159077
674,01-01-18, Railway,6836
675,01-01-18, Road,522302
676,02-01-18, Waterway,6010
677,02-01-18, Air,165391
678,02-01-18, Railway,6262
679,02-01-18, Road,456881
680,03-01-18, Waterway,8952
681,03-01-18, Air,204443
682,03-01-18, Railway,8510
683,03-01-18, Road,576045
684,04-01-18, Waterway,14815
685,04-01-18, Air,226575
686,04-01-18, Railway,7842
687,04-01-18, Road,614002
688,05-01-18, Waterway,19054
689,05-01-18, Air,256568
690,05-01-18, Railway,11444
691,05-01-18, Road,696099
692,06-01-18, Waterway,19616
693,06-01-18, Air,265242
694,06-01-18, Railway,10989
695,06-01-18, Road,837069
696,07-01-18, Waterway,18856
697,07-01-18, Air,316648
698,07-01-18, Railway,14988
699,07-01-18, Road,1091764
700,08-01-18, Waterway,18783
701,08-01-18, Air,288515
702,08-01-18, Railway,15947
703,08-01-18, Road,1153728
704,09-01-18, Waterway,18580
705,09-01-18, Air,261670
706,09-01-18, Railway,9970
707,09-01-18, Road,780060
708,10-01-18, Waterway,14290
709,10-01-18, Air,253091
710,10-01-18, Railway,10012
711,10-01-18, Road,684412
712,11-01-18, Waterway,7915
713,11-01-18, Air,200084
714,11-01-18, Railway,8693
715,11-01-18, Road,598805
716,12-01-18, Waterway,8073
717,12-01-18, Air,199749
718,12-01-18, Railway,10422
719,12-01-18, Road,627908
720,01-01-19, Waterway,7229
721,01-01-19, Air,164591
722,01-01-19, Railway,7603
723,01-01-19, Road,551375
724,02-01-19, Waterway,6765
725,02-01-19, Air,171824
726,02-01-19, Railway,6997
